SUBJECT_NUMBER,Chest,Weight,Hip,Sleeve,Height,Waist,Neck,Inseam,Forearm
371,39.09,132.66,37.83,32.17,64.06,29.21,13.62,29.39,9.92
372,40.87,162.14,41.38,32.01,65.16,33.15,15.47,28.69,10.71
436,31.97,119.46,36.34,30.0,63.78,25.24,12.91,27.82,9.88
437,39.17,134.2,38.03,29.76,59.25,33.5,14.53,26.8,9.57
438,39.72,180.62,43.5,34.45,70.67,33.19,14.49,31.24,10.43
439,34.09,150.26,38.74,34.65,71.18,28.19,14.53,34.28,10.0
440,37.76,141.9,38.94,31.14,65.2,30.91,13.86,29.67,10.55
443,39.45,152.68,40.43,32.09,65.24,32.72,13.98,29.16,10.91
444,35.79,127.16,38.07,31.1,62.83,28.9,13.27,29.47,9.92
445,31.42,99.88,34.17,31.5,60.94,25.0,12.4,27.58,9.02
446,35.79,137.5,40.31,31.81,62.99,31.14,13.98,28.65,9.84
447,32.76,119.68,34.88,32.72,65.94,24.96,13.54,31.36,9.72
449,34.17,131.56,39.25,32.13,63.78,27.4,13.7,28.88,10.0
456,35.08,144.54,39.76,31.77,62.8,31.02,14.21,29.31,10.28
458,36.18,132.0,38.23,30.98,63.58,27.4,13.9,28.06,9.41
464,38.03,172.92,40.98,31.97,63.9,32.44,13.86,28.25,10.59
466,38.94,169.18,43.58,30.83,64.92,33.35,14.65,29.0,10.71
467,39.33,167.2,41.61,33.35,67.17,34.53,14.96,32.5,10.47
469,35.0,131.12,37.32,31.57,63.39,28.11,13.39,29.94,10.51
470,36.06,129.8,38.35,31.34,62.95,29.33,13.82,29.28,9.33
471,33.35,140.36,39.69,33.03,68.74,27.09,13.74,31.48,9.76
473,37.01,136.62,37.87,32.36,63.46,27.76,14.33,30.57,10.24
474,31.93,110.22,35.75,31.02,62.95,26.3,13.23,29.08,9.41
500,34.57,133.98,37.17,30.94,64.96,29.06,13.78,29.71,10.04
502,40.0,168.08,44.72,31.3,65.28,34.96,15.08,29.31,10.71
503,33.15,130.9,37.36,31.38,61.3,27.52,13.66,28.92,10.2
504,35.59,132.66,39.45,30.31,63.58,30.12,13.58,29.51,9.53
505,39.09,152.9,41.46,31.61,64.29,31.34,14.49,29.59,10.35
507,34.06,134.86,38.5,31.46,62.6,28.58,12.91,28.69,9.29
508,38.54,142.12,39.29,30.24,62.32,32.05,13.98,27.58,10.31
509,34.41,129.58,38.43,30.63,62.13,27.76,14.37,28.96,9.76
510,30.83,100.1,34.02,29.41,62.6,24.41,12.72,27.35,8.82
517,34.06,113.08,34.84,29.72,62.8,26.81,13.23,28.96,9.33
522,33.54,111.98,34.61,30.79,60.75,26.06,13.15,29.35,9.96
523,32.83,118.58,35.94,29.88,61.77,26.18,13.35,28.45,9.69
526,34.53,109.34,34.37,27.36,57.09,28.03,12.87,24.87,9.65
527,34.45,136.4,38.07,32.76,67.83,26.61,13.58,31.28,10.31
1084,32.83,139.48,38.35,33.39,68.19,26.65,13.54,32.82,9.92
1103,36.81,124.74,34.69,31.34,64.84,26.69,14.06,28.65,9.8
1105,33.86,104.72,33.35,29.92,59.13,26.06,12.99,27.94,9.92
1107,38.54,139.7,38.43,32.87,65.67,28.86,14.41,32.5,9.69
1111,37.01,122.76,36.5,30.31,60.0,28.35,12.91,27.78,10.0
1112,33.27,116.6,34.72,33.54,64.29,28.15,12.95,31.48,9.49
